新闻频道,#genre#
TVBS新闻台,http://tw.ts138.top/4g/?id=4gtv-4gtv072#https://litv.zapi.us.kg/?id=4gtv-4gtv072
中天新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv009#http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8541/.m3u8#https://litv.zapi.us.kg/?id=4gtv-4gtv009
中视新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv074#https://litv.zapi.us.kg/?id=4gtv-4gtv074
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
民视新闻台,http://tw.ts138.top/4g/?id=litv-ftv13
华视新闻,http://37.27.111.214:8080/live/8/hls.m3u8#https://litv.zapi.us.kg/?id=4gtv-4gtv052
半岛新闻,http://tw.ts138.top/4g/?id=litv-ftv10
东森新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv152
非凡新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv010#https://litv.zapi.us.kg/?id=4gtv-4gtv010
壹新闻,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8548/.m3u8
华视新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv052
台视新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv051
寰宇新闻台湾,http://37.27.111.214:8080/live/63/hls.m3u8
寰宇新闻台,http://tw.ts138.top/4g/?id=litv-longturn14
寰宇新闻台湾台,http://tw.ts138.top/4g/?id=litv-longturn15
镜新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv075#http://37.27.111.214:8080/live/62/hls.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
闽镜新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv075
东森财经新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv153
台视财经,http://tw.ts138.top/4g/?id=4gtv-4gtv056
台视财经台,https://litv.zapi.us.kg/?id=4gtv-4gtv056
寰宇财经新闻,http://37.27.111.214:8080/live/65/hls.m3u8
国际财经,http://tw.ts138.top/4g/?id=4gtv-4gtv104
民视台湾台,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv001
民视,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv002
民视第壹台,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv003
中天新闻,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv009
非凡新闻,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv010
台视新闻,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv051
华视新闻,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv052
台视,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv066
tvbs新闻台,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv072
tvbs,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv073
中视新闻,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv074
镜新闻,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv075
半岛新闻,http://free.xiptv.x10.bz/4gtv.php?id=litv-ftv10
民视新闻台,http://free.xiptv.x10.bz/4gtv.php?id=litv-ftv13
国会频道1,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv084
国会频道2,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv085
国际财经,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv104
第1商业台,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv109
东森新闻,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv152
东森财经新闻,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv153
民视,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv155
民视台湾台,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv156
环宇新闻台,http://free.xiptv.x10.bz/4gtv.php?id=litv-longturn14
环宇新闻台湾台,http://free.xiptv.x10.bz/4gtv.php?id=litv-longturn15
台视闽南台,rtmp://f13h.mine.nu/sat/tv071#https://litv.zapi.us.kg/?id=4gtv-4gtv066#https://litv.zapi.us.kg/?id=4gtv-4gtv002
